8wejść;1;500;1,12E-004;0,08;8,923832E-006
;2;1000;4,22E-005;0,04;1,68890314639491E-006
;3;1500;2,57E-005;0,048;1,23221470105351E-006
;4;2000;2,03E-005;0,038;7,71637399428189E-007
;5;2500;1,81E-005;0,053;9,60712705197088E-007
;6;3000;1,70E-005;0,041;0,000000699
;7;3500;1,64E-005;0,038;6,23423054756677E-007
;8;4000;1,60E-005;0,06;9,57761939508012E-007
;9;4500;1,56E-005;0,55;8,59333642244759E-006
;10;5000;1,54E-005;0,053;8,13571539135558E-007
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
10wejść;1;500;1,70E-004;0,08;
;2;1000;7,59E-005;0,04;
;3;1500;4,55E-005;0,048;
;4;2000;3,32E-005;0,038;
;5;2500;2,74E-005;0,053;
;6;3000;2,42E-005;0,041;
;7;3500;2,23E-005;0,038;
;8;4000;2,10E-005;0,06;
;9;4500;2,01E-005;0,55;
;10;5000;1,94E-005;0,053;
;;;;;
;;;;;
;;;;;
12wejść;1;500;6,45E-004;0,08;
;2;1000;3,47E-004;0,04;
;3;1500;1,96E-004;0,048;
;4;2000;1,21E-004;0,038;
;5;2500;8,13E-005;0,053;
;6;3000;5,92E-005;0,041;
;7;3500;4,64E-005;0,038;
;8;4000;3,85E-005;0,06;
;9;4500;3,35E-005;0,55;
;10;5000;3,01E-005;0,053;
;;;;;
;;;;;
16wejść;1;500;7,70E-004;0,08;
;2;1000;4,49E-004;0,04;
;3;1500;2,76E-004;0,048;
;4;2000;1,80E-004;0,038;
;5;2500;1,24E-004;0,053;
;6;3000;9,02E-005;0,041;
;7;3500;6,94E-005;0,038;
;8;4000;5,62E-005;0,06;
;9;4500;4,74E-005;0,55;
;10;5000;4,15E-005;0,053;
